Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,677.11600,69.82400,607.29210,200.35400,211.91700,395.37500,-93.64800,301.72700,0.73400,300.99300,300.99300,18.23100,408.16600,395.37500,93.29100,1596.62500,0.20000,0.15000,1.89560,0.44910,2.48530,89.68800,58.39100,58.39100,44.56060,2.69240,0.05550,1.75450,51.29550,9.73420,9.73420,2.46630,5.36270,1.93770,-1.2864,-1.156
2023-06-30,587.52000,55.27600,532.24400,205.65900,217.10000,315.14400,-85.14000,230.00400,1.21000,228.79400,228.79400,7.55800,327.32200,315.14400,93.10710,93.10710,0.08000,0.08000,1.79210,0.46120,2.83540,90.59160,53.63970,53.63970,39.14830,1.28640,0.04730,1.68890,53.28810,7.76330,7.76330,1.84130,4.18290,1.84750,-19.8514,-19.9086
2023-03-31,161.27400,53.34500,107.92900,172.83200,184.50200,-76.57300,-63.04300,-139.61600,-1.00300,-138.61300,-138.61300,-11.94100,-63.92000,-76.57300,92.92080,92.92080,-0.13000,-0.13000,2.00190,0.46730,2.39460,66.92280,-47.48010,-47.48010,-86.57070,-7.40420,0.01470,0.37180,242.05530,-4.82210,-4.82210,-1.26610,-2.56850,1.80200,21.44750,21.36200
2022-12-31,302.43400,54.20500,248.22900,190.91000,202.62290,45.60610,-114.86400,-69.25800,-6.77400,-62.48400,-62.48400,-0.27700,58.55510,45.60610,92.47520,92.47520,-0.01000,0.01000,1.77350,0.46690,2.93950,82.07710,15.07970,15.07970,-22.90020,-0.09160,0.02220,0.78930,114.01900,-1.97010,-1.97010,-0.45940,-1.05020,1.98900,-27.3947,-27.4585
2022-09-30,684.17300,58.09400,626.07900,204.40700,215.83300,410.24600,-79.86500,330.38100,4.77100,325.61000,325.61000,11.69600,422.66800,410.24600,92.57200,92.57200,0.13000,0.13000,1.79070,0.37440,2.02170,91.50890,59.96230,59.96230,48.28910,1.70950,0.05750,1.23020,73.15950,9.59930,9.59930,2.73850,6.00530,2.12710,-5.9693,-6.0273
2022-06-30,564.22500,70.19200,494.03300,199.51700,210.69800,283.33500,-67.12100,216.21400,0.76900,215.44500,215.44500,8.36600,295.45900,283.33500,92.53360,92.53360,0.09000,0.09000,1.85900,0.38680,2.06260,87.55960,50.21670,50.21670,38.32050,1.48270,0.05120,1.61170,55.84320,6.68270,6.68270,1.95560,4.09800,2.02180,115.4026,115.2403
2022-03-31,821.79400,73.90200,747.89200,211.76900,222.68400,525.20800,-67.87600,457.33200,4.04500,453.28700,453.28700,21.93000,537.11700,525.20800,92.21460,1594.28400,0.24000,0.22000,1.84640,0.39140,1.96820,91.00720,63.90990,63.90990,55.65040,2.66860,0.07480,1.33060,67.63830,14.31630,14.31620,4.12420,8.71320,1.98560,7.37120,7.36740
2021-12-31,605.45700,61.49200,543.96500,208.49800,218.92000,325.04510,-93.20900,231.83610,-7.99000,239.82590,239.82590,16.95000,336.30910,325.04490,100.88110,1603.15800,0.18000,0.10000,1.28810,0.39130,5.71170,89.84370,53.68590,53.68590,38.29110,2.79950,0.02690,1.45650,61.79170,7.56310,7.56310,1.06460,4.60400,1.98970,-3.8701,-3.8783
2021-09-30,690.31400,48.17200,642.14200,218.25700,227.29100,414.85100,-81.51100,333.34000,3.48300,329.85700,329.85700,25.24600,424.54710,414.85100,101.10600,1603.71100,0.25000,0.16000,1.35930,0.34040,4.03070,93.02170,60.09600,60.09600,48.28820,3.65720,0.04190,2.03020,44.33130,11.01720,11.01720,2.00140,7.26670,1.86840,0.3669,0.3545
2021-06-30,484.65200,38.58500,446.06700,226.39700,234.75000,211.31700,-71.14300,140.17400,1.46200,138.71200,138.71200,8.26400,220.40100,211.31700,102.76080,1605.06800,0.08000,0.07000,1.31920,0.36520,4.76270,92.03860,43.60180,43.60180,28.92260,1.70510,0.02880,1.52670,58.95200,5.16240,5.16240,0.82350,3.27730,1.67480,-4.3504,-4.3645
2021-03-31,1189.87000,33.67000,1156.20000,240.33400,247.62300,908.57700,-35.68600,872.89100,12.88600,860.00500,860.00500,47.98500,916.55800,908.57700,103.10420,1605.17400,0.47000,0.33000,1.60930,0.30940,2.19360,97.17030,76.35940,76.35940,73.36020,4.03280,0.11470,2.16580,41.55440,30.95730,30.95730,8.29110,21.37840,1.73070,1.64280,1.63670
2020-12-31,1818.28900,44.14400,1774.14500,123.91100,348.05100,1426.09400,-53.35300,1372.74100,0.95000,1371.79100,1371.79100,1371.79100,1657.38400,1426.09400,,,,0.00000,1.42250,0.32300,3.41180,97.57220,78.43050,78.43060,75.49630,75.44410,0.15820,7.16990,12.55250,57.77710,57.77720,11.93540,39.11540,,0,0
2020-09-30,1834.20100,32.00500,1802.19600,238.26600,309.94300,1492.25300,-40.62000,1451.63300,0.75000,1450.88300,1450.88300,1450.88300,1652.32600,1492.25300,,,,0.00000,0.10510,,0.20000,98.25510,81.35710,81.35710,79.14250,79.10160,4.30770,,,29017.62000,29017.48000,340.74570,29017.62000,0.38510,0,0
2020-06-30,830.64800,23.26900,807.37900,164.39500,237.11700,570.26200,-30.02500,540.23700,0.75000,539.48700,539.48700,539.48700,669.89500,570.26200,0.00000,0.00000,0.00000,0.00000,3.09220,,,97.19870,68.65270,68.65270,65.03800,64.94770,1.94570,,,10789.73000,10789.67000,126.36650,10789.73000,0.40170,0,0
2020-03-31,455.45600,25.87600,429.58000,144.79400,366.19300,63.38700,-43.03800,20.34900,,20.34900,20.34900,20.34900,143.09700,63.38700,,,,0.00000,2.39770,,,94.31870,13.91730,13.91730,4.46780,4.46780,1.06570,,,406.97920,406.97760,4.76140,406.97920,0.40180,0.00000,
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
2019-09-30,,,,0.02050,,-0.02050,0.00070,-0.02120,,-0.02120,-0.02120,-0.02120,-0.02050,-0.02050,11.50000,11.50000,-0.00180,-0.00180,,,,,,,,,,,,,,,,,0,0
