Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-09-30,7.58510,5.39160,-12.97670,1.38630,-11.59040,0.02890,-11.61940,-11.61940,-11.61940,-12.97350,-12.97670,53.51800,53.51800,-0.18000,-0.18000,48.50690,,-2.37300,-2.37300,-2.32290,-2.37300,7.84110,-0.0842,-0.0842
2023-06-30,8.70380,4.48200,-13.18590,0.84270,-12.34320,0.01010,-12.35340,-12.35340,-10.48820,-13.18260,-13.18590,43.71800,43.71800,-0.23000,-0.23000,70.97320,,-2.47510,-2.47510,-2.43840,-2.47510,7.99270,-0.2535,-0.2535
2023-03-31,7.41510,5.51650,-12.93160,0.72360,-12.20800,0.01100,-12.21900,-12.21900,-9.00490,-12.92830,-12.93160,39.06200,39.06200,-0.23000,-0.23000,9.13600,,-20.67090,-20.67090,-18.29280,-20.67090,1.12170,-0.23100,-0.23100
2022-12-31,11.16900,5.52740,-16.69640,0.23950,-16.45690,0.02570,-16.48260,-16.48260,-7.29880,-16.69310,-16.69640,29.36140,29.36140,2.08000,2.08000,9.98130,,-23.96890,-23.96890,-21.44960,-23.96890,1.30480,-0.7041,-0.7041
2022-09-30,9.02440,5.74610,-14.77050,0.03760,-14.73290,0.00870,-14.74170,-14.74170,-14.74170,-14.76720,-14.77050,36.92600,36.92600,-0.27000,-0.27000,14.71060,,-17.85390,-17.85390,-16.64000,-17.85390,1.56670,-0.2069,-0.2069
2022-06-30,11.40050,6.25160,-17.65220,0.24510,-17.40710,0.00930,-17.41630,-17.41630,-12.05270,-17.64890,-17.65220,35.20200,35.20200,-0.34000,-0.34000,25.50620,,-18.41870,-18.41870,-17.69350,-18.41870,1.79430,1.8366,1.8393
2022-03-31,10.45500,5.48740,-15.94230,0.06950,-15.87280,-0.00730,-15.86550,-15.86550,-15.88010,-15.93980,-15.94230,5.01400,5.01400,-3.17000,-3.17000,0.57280,0.00610,-65.03570,-65.03570,-6.86190,-65.03570,3.62810,-2.82930,-2.83250
2021-12-31,,-3.93620,34.47300,0.03450,34.50750,,34.50750,34.50750,34.50750,34.47300,34.47300,2.87500,2.87500,5.25000,5.25000,0.45700,-1.28810,-294.49590,-296.32850,356.39180,-296.32850,-1.13970,11.3823,11.3958
2021-09-30,0.66950,5.59770,-6.26720,-0.02080,-6.28810,,-6.28810,-6.28810,-6.28810,-6.26490,-6.26720,2.39100,2.39100,-2.63000,-2.63000,0.58610,,130.00090,130.00100,-5.40920,130.00090,-1.46350,-9.3158,-9.3275
2021-06-30,29.86720,2.81480,-32.68200,-0.00380,-32.68580,,-32.68580,-32.68580,-32.68580,-32.68200,-32.68200,11.27900,11.27900,-2.90000,-2.90000,14.79130,,-653.71540,-653.71460,-28.08780,-653.71550,1.22580,-2.2415,-2.2433
2021-03-31,,0.09410,-0.09410,0.01780,-0.07630,,-0.07630,-0.07630,-0.07630,-0.09410,-0.09410,2.87500,2.87500,-0.03000,-0.03000,24.32820,,-1.52580,-1.52580,-0.06550,-1.52580,1.23030,-0.03750,-0.03750
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2020-09-30,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
